,metadata_name,metadata_activityType,metadata_climbCategory,metadata_verifiedStatus,measurements_distance,measurements_avgGrade,measurements_elevHigh,measurements_elevLow,elevationChart_url,totalAthletes,totalEfforts,athletePrEffort_timing_elapsedTime,athletePrEffort_activity_id,leaderboards_leaderboardEfforts_athlete_id,leaderboards_leaderboardEfforts_athlete_firstName,leaderboards_leaderboardEfforts_athlete_lastName,leaderboards_leaderboardEfforts_activity_id,leaderboards_leaderboardEfforts_timing_elapsedTime,athletePrEffort,distance_miles,cr_speed
14,Ellis - 42nd to Hyde Park Blvd,Ride,,,1725.800048828125,-0.052149698138237,182.1999969482422,180.8000030517578,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/KHGULJLVH42DOZ2UMV4MKHEASVYFJC4IINS6JCYHGR5C5OCO754VAWJN5JDX5MCZTHXJZEM7,92,275,,,8442261,Benjamin,Collins,609923239,177,,1.0723650992507021,21.81081557798038
15,Sprint to Prometory,Ride,,,785.5999755859375,0.0,127.19999694824219,127.19999694824219,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/I5ESMMDALCPDW6LYMPAWIWRSRJBTECQR5TIBYOMDADGZRPQJ76SF5OUKDYNYXHNOBRDP6NOMZ4======,21316,372225,72.0,12082050571,57215647,Gar,Lauerman,9493995070,49,,0.4881504067418554,35.86411151572815
16,Harold Washington Park Overpass N,Ride,,,103.98400115966797,1.173259973526001,181.69900512695312,180.47900390625,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/7CQK3VLSUA3LOHGKGNQBDEH6BEXA7GCWVYSG3NNLZDR3UHSTQUS2FV2XIGE64J2OR6UCOAIR,34393,381908,9.0,10885285057,69297129,Felix,Barnes,12284387687,2,,0.06461282336837956,116.30308206308321
17,Harold Washington Park Overpass S,Ride,,,139.9709930419922,0.49153000116348267,181.6820068359375,180.6060028076172,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/TNJILUTN3ORHEIG2YO6CBYKCKGOT4EZYDGGJKM34C3LAK7FOONT6IABWBTMKTCSVOESKEAD2,33757,392150,14.0,11114923853,5504960,Andrew,Killion,1721203142,7,,0.08697415899809376,44.72956748473393
18,Elizabeth Bracket to 31st,Ride,,,1457.0999755859375,-0.061766501516103745,193.1999969482422,190.1999969482422,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/U2GKZWPPK4H74GGCPXDBVE6R6IBPO3JYZZQPBR54TWDZELDRKYWPRXOABM3GSZJWEIXMG67ERY======,34673,374894,129.0,10885285057,40753365,John,Whipple,5330825144,103,,0.9054021994022007,31.645125415999246
19,47th st eastbound oakley to ashland,Ride,,,1320.5999755859375,0.02271690033376217,182.8000030517578,181.3000030517578,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/2ULGFGVCRRWQDJC6JYZPHWQYFUCNDZEJBQMOG72CJKWD4TP5I7HB7M37G3ECKRS3MAQG3L6IUY======,180,683,,,23804472,Sam,LeVon,7040966491,117,,0.820584820849502,25.248763718446213
20,NB Western Blvd 51st -> Pershing,Ride,,,2200.800048828125,-0.1454019993543625,185.1999969482422,182.0,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/XEGT5WVPIZPV7YKKYLJEOVNLXL2JGIT44TYOVFU6ASF27HLCM5IPGC5NUNVPO6L4BY72NQOV,184,329,,,126223342,Daniel,Heffernan,11847352531,191,,1.3675171491593605,25.775192340176428
21,Archer ave. Western to California,Ride,,,990.7999877929688,-0.05046429857611656,183.60000610351562,182.0,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/DUWWVOZDTXGBYZFOGGA5MAL4ORR3HSKD6ZVREGJU6MQ6HRP4SOFSE5UO452WXBLEUYI7EEN7,743,9669,,,99700181,Cesar,Romero,7868209321,73,,0.6156560998875121,30.36112273417868
22,If It Was Good Enough For My Daddy,Ride,,,4278.0,0.7012619972229004,200.39999389648438,170.39999389648438,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/HURLX4IV7CGZERJEYCW76FUVEKJOER3PYRW2ZW3ZFCZTONDLZML4TQKOG3J43QQZKLITYMOJ,21,48,,,122771245,Jared,Rogers,9921135915,438,,2.6582325673878735,21.848486855242797
23,Longwood SB from 99th to 103rd,Ride,,,737.2999877929688,-0.06781499832868576,194.60000610351562,194.10000610351562,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/567N23KGZAPH23FJHIBEF347ACZZDUUJJMOER7HKSSYV52TSMRDD56WRRSRMXQZZEWFKQX3HFE======,375,3007,,,69336753,Walt,Flood - MTC3,9306642255,58,,0.45813811114678615,28.43615862290397
24,102nd sprint westbound Seeley to Oakley,Ride,,,459.8999938964844,0.6088280081748962,209.60000610351562,206.39999389648438,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/UEXGP7JWSX6DZLIVQYQMMOYRGSS7HUFVHHOUOPNRBAPWCKOESNLO7ZZJOV2QMCGMTEI6W5EW,34,124,,,69336753,Walt,Flood - MTC3,12382386980,36,,0.28576931779268794,28.576931779268794
25,Longwood SB from 103rd to 107th,Ride,,,779.9000244140625,-0.1410440057516098,193.6999969482422,192.60000610351562,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/AFEL43VNSUZCBQOI73VUCNNEIDMG2KY6L4ZMLVBRA4NDKV6DXQQBUMO2H2VJL6FTI4UWIGTM7Q======,273,3028,,,69336753,Walt,Flood - MTC3,7894947231,58,,0.48460861248341713,30.07915525759141
26,Bronzeville 35th/State to MLK,Ride,,,761.7000122070312,0.10502800345420837,182.1999969482422,180.6999969482422,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/JCKSHJK3TTGVXBYKOAQSZJNIEOVKBOONXCIOVH2CRJMHYERNSRXFI7J3RNCXKXMOHBKDTZMBTA======,847,5000,,,26492622,Joseph,Giardina,7142767907,73,,0.47329962109127427,23.340803231898455
27,35th Bridge to King Drive,Ride,,,994.7999877929688,-0.2412550002336502,189.1999969482422,181.39999389648438,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/XQAKEGTCH6PC6EECWPUW4EFTCA6Z44DYLVSBULTT7J23YC4JZ3IQJ24FPDGGSZ7M5LJTHDYO,1621,6404,,,63952587,Oscar,Martinez,9758694335,89,,0.6181415908341114,25.003480078683157
28,Lakefront Trail | 31st Street Beach to McCormick Place,Ride,,,1191.0,0.025188900530338287,181.8000030517578,180.39999389648438,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/ZYHZVW6PINMAGFU7EWCFW7ATLCHH2K3UE6ZKBCMN4P7EI4J2SERXXW3WTOUEJNOETKF4FQSO,44598,466939,107.0,11995164877,1296045,Preston,Tyler,5034321258,81,,0.7400549293499199,32.89133019332978
29,Michigan (31st to 51st),Ride,,,3946.39990234375,0.03547539934515953,182.89999389648438,181.3000030517578,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/QAEZAVPJI7B7HHWMRUSWIE6NF5DA6BJ2RN3FTJTIHKFKPMGFNKXTKSUF6X7MELIJNGBUQU24X4======,730,5412,,,256166,stephen,merlo,3923435541,364,,2.452185307233866,24.252382159455813
